Primary address,Secondary address,lat_grid,lon_grid
2800 n lamar blvd,san gabriel st,30.244,-97.781
1800 lavaca st,w 18th st,30.28,-97.741
7500 not reported,convict hill rd,30.217,-97.849
677 mairo st st,boggy ridge dr dr,30.183,-97.795
3400 w slaughter ln ln,slaughter ln,30.183,-97.848
3700 duval rd,aspendale,30.412,-97.723
800 capitol of texas hwy,w las cimas pkwy,30.291,-97.828
14720 staked plains loop loop,misty white dr,30.5,-97.794
not reported hwy,las cimas pkwy,30.291,-97.828
6500 not reported hwy,escarpment blvd,30.182,-97.901
w 45th st,avenue b,30.31,-97.731
research sb to cap tx ramp,capital of texas hwy,30.393,-97.747
w 39th 12 st st,medical parkway,30.308,-97.743
13100 mc callen pass park,center ridge dr,30.411,-97.664
100 e e slaughter ln ln,not reported,30.167,-97.786
2200 not reported hwy,e oltorf st,30.234,-97.741
spicewood springs rd,forest mesa dr,30.366,-97.751
1500 guadalupe st st,w w 15th st st,30.278,-97.743
1000 e riverside dr,900 travis heights blvd,30.25,-97.739
1400 w rundberg ln,9400 quail meadow dr,30.368,-97.708
300 e e william cannon dr dr,300 circle s dr,30.192,-97.775
6200 s fm 973,burleson rd,30.168,-97.659
8100 not reported hwy,e wonsley dr,30.343,-97.698
7400 blessing ave,e anderson ln svrd eb,30.332,-97.693
2800 s lamar blvd,barton skyway,30.244,-97.782
5300 not reported,3100 alvin devane blvd,30.214,-97.724
5300 not reported,1200 battle bend blvd,30.203,-97.761
8600 cameron rd,8700 cross park dr,30.344,-97.678
600 e koenig ln,avenue f,30.321,-97.716
10200 not reported,brandt rd,30.161,-97.789
8600 not reported blvd,olen rd,30.363,-97.718
not reported hwy,balcones club dr dr,30.445,-97.788
1100 not reported,700 e 11th st,30.27,-97.733
7800 burnet rd,w anderson ln,30.373,-97.726
3100 not reported fwy,woodward st,30.236,-97.74
10000 not reported hwy,e rundberg ln,30.377,-97.676
1000 n lamar blvd,w 10th st,30.275,-97.752
300 not reported,6th st,30.266,-97.735
e stassney ln,not reported,30.198,-97.764
2100 e martin luther king jr blvd blvd,coleto st,30.28,-97.719
1600 e william cannon dr,not reported,30.19,-97.771
11400 not reported expy,3110 duval rd,30.416,-97.706
7100 not reported,not reported,30.332,-97.704
not reported,not reported,30.236,-97.825
1000 w stassney ln,560o emerald forrest dr,30.211,-97.787
13300 not reported,1200 e howard ln,30.422,-97.672
9400 north creek dr,300 e rundberg ln,30.361,-97.691
1640 chippeway ln,1600 armadillo rd,30.204,-97.799
2500 n lamar blvd blvd,shoal crest blvd,30.291,-97.751
9300 research blvd nb blvd,n mopac blvd,30.381,-97.741
5500 manchaca rd,manchaca rd,30.216,-97.797
not reported,e 51st street st,30.309,-97.711
12900 not reported hwy,lake creek pkwy,30.435,-97.771
5500 not reported hwy,4900 monterey oaks blvd,30.237,-97.84
4700 s congress ave,100 shreaton ave,30.215,-97.769
7500 not reported hwy,wallace dr,30.37,-97.788
13600 not reported hwy,800 howard rd,30.424,-97.672
7600 not reported hwy,1000 e st john ave,30.336,-97.702
3200 not reported expy,900 woodward st,30.224,-97.747
7500 not reported expy,w william cannon dr,30.187,-97.791
9010 metric blvd blvd,research blvd svrd nb,30.371,-97.721
9500 not reported hwy,turk ln,30.159,-97.79
10000 not reported hwy,slaughter creek dr,30.169,-97.785
2800 manchaca rd,lightsey rd,30.243,-97.782
4400 airport blvd,parkwood rd,30.3,-97.713
elmont dr,s pleasant valley rd,30.239,-97.72
13700 not reported hwy,not reported,30.425,-97.671
11400 not reported hwy,onion creek overpass,30.136,-97.798
6705 w us 290 hwy,6500 w william cannon dr,30.234,-97.868
1200 barbara jordan blvd,lancaster dr,30.307,-97.709
1200 not reported,not reported,30.272,-97.732
500 w longspur blvd,9700 n lamar blvd,30.367,-97.693
13700 research blvd blvd,1000 braker ln ln,30.4,-97.746
12200 not reported hwy,pavillion blvd,30.426,-97.754
7300 not reported rd,four points dr dr,30.407,-97.852
w william cannon dr,emerald forest dr,30.199,-97.794
1200 n lamar blvd,parkway,30.278,-97.751
11300 ptarmigan dr dr,w braker ln,30.39,-97.703
3400 not reported,1900 w 35th st,30.261,-97.736
9300 anderson mill rd,pond springs rd,30.45,-97.785
7100 manor rd,susquehanna ln,30.313,-97.665
4600 guadalupe st st,w 45th st st,30.313,-97.732
4000 w slaughter ln,camden apartments private drive rd,30.188,-97.856
11900 not reported,onion creek pkwy,30.134,-97.799
1700 e anderson ln eb ln,cameron rd,30.332,-97.687
2200 e stassney ln,2100 dove springs dr,30.194,-97.757
6800 not reported,not reported,30.329,-97.756
4404 e oltorf st st,s pleasant valley,30.229,-97.725
13300 not reported expy,scofield ridge pkwy,30.431,-97.701
4700 not reported,not reported,30.219,-97.75
thaxton rd,8100 rosenberry dr,30.157,-97.741
not reported expy,york blvd,30.387,-97.735
not reported,e stassney ln ln,30.198,-97.764
12200 not reported,tech ridge blvd,30.399,-97.673
8900 research blvd svrd sb blvd,putnam dr,30.37,-97.72
200 w w slaughter ln ln,9200 alice mae ln,30.168,-97.793
not reported,deker ln ln,30.337,-97.6
2700 e parmer ln,samsung blvd,30.377,-97.634
5601 purple sage dr side b dr,purple sage dr,30.31,-97.655
1110 airport blvd,springdale rd,30.266,-97.696
11150 research blvd svrd sb blvd,balcones woods dr,30.408,-97.746
7200 mcneil dr dr,12100 jekel cir cir,30.436,-97.764
4300 s 1st st,600 w st elmo,30.223,-97.772
6300 not reported hwy,6000 e us hwy 290 hwy,30.324,-97.707
6100 e stassney ln,burleson rd,30.194,-97.727
1800 rutland dr dr,golden meadow dr,30.379,-97.712
7800 n lamar blvd,900 w anderson ln ln,30.348,-97.713
2300 e riverside dr,1600 willow creek dr,30.236,-97.725
1400 s pleasant valley rd,elmont dr,30.239,-97.72
9900 not reported,not reported,30.155,-97.791
9600 manchaca rd,monarch dr,30.176,-97.823
3400 far west blvd,not reported,30.352,-97.75
11300 sprinkle cutoff rd rd,samsung blvd blvd,30.358,-97.649
e ben white blvd,e riverside dr,30.218,-97.691
10300 s 1st st,100 camperdown elm dr,30.155,-97.8
1500 not reported hwy,e 15th st,30.274,-97.732
10000 metropolitan dr dr,2200 ruthland dr dr,30.382,-97.718
13600 not reported hwy,1200 w howard ln,30.424,-97.672
700 s pleasant valley rd,lakeshore,30.245,-97.716
1011 anderson ln,anderson square ln,30.349,-97.716
not reported,cedar st st,30.339,-97.804
8300 not reported hwy,rutherford ln,30.345,-97.696
11100 n lamar blvd blvd,800 kramer ln ln,30.38,-97.688
1800 w 45th st,shoal creek blvd,30.317,-97.746
9000 not reported hwy,e slaughter ln,30.167,-97.786
not reported,not reported,30.308,-97.711
nuckols crossing,spring meadow rd,30.197,-97.736
1600 w wells branch pkwy,14700 n ih 35 expy,30.44,-97.669
9200 not reported hwy,slaughter ln,30.163,-97.788
4200 manchaca rd,1800 w ben white blvd,30.23,-97.788
500 s s pleasant valley rd rd,s s lakeshore blvd blvd,30.241,-97.718
10600 not reported blvd,3400 w braker ln,30.396,-97.733
9600 anderson mill rd,not reported,30.449,-97.791
3800 s capial of texas nb hwy,westgate,30.242,-97.802
not reported,e 6th st st,30.266,-97.735
900 not reported hwy,riverside dr dr,30.249,-97.736
100 e ben white blvd,s 1st st,30.226,-97.769
13000 not reported loop,scofield ridge pkwy,30.431,-97.701
e e ben white blvd svrd eb blvd,todd ln,30.215,-97.735
13000 not reported hwy,9800 north lake creek pkwy,30.475,-97.774
panther trl,south lamar blvd,30.239,-97.789
8000 not reported rd,rock harbour dr,30.418,-97.847
not reported hwy,slaughter creek overpass rd,30.167,-97.786
4500 s 1st st,w st elmo rd,30.219,-97.774
5700 s pleasant valley rd,leather leaf trl,30.189,-97.745
woodhue dr,w william cannon dr,30.2,-97.799
9912 not reported expy,la crosse ave,30.191,-97.874
3300 northland dr dr,5500 balcones dr dr,30.337,-97.757
800 not reported blvd,not reported,30.339,-97.7
1700 not reported hwy,enfield rd,30.286,-97.764
1100 s congress ave,100 academy dr,30.252,-97.749
1600 ohlen rd rd,1600 payton gin rd rd,30.364,-97.714
3500 s lamar blvd,panther trl,30.239,-97.789
1100 barbara jordan blvd,barbara jordan blvd,30.308,-97.711
5300 berkman dr,broadmoor,30.306,-97.697
n lamar blvd,w w martin luther king jr blvd,30.284,-97.752
600 w 6th st st,rio grande,30.27,-97.75
4000 not reported rd,mesa dr,30.341,-97.77
10700 not reported expy,3800 w braker ln,30.396,-97.733
4500 not reported hwy,w 45th st,30.313,-97.709
7400 not reported fwy,e anderson eb svrd,30.337,-97.702
12600 n lamar blvd blvd,1100 w parmer ln ln,30.411,-97.678
600 s 1st st,5600 w stassney ln,30.208,-97.782
2700 s 1st st,600 cumberland dr,30.238,-97.762
not reported blvd,great hills trl,30.394,-97.746
7500 n lamar blvd,morrow st st,30.342,-97.716
e riverside dr,wickersham ln,30.232,-97.72
5300 n mopac expy,3000 n northland dr,30.339,-97.755
700 not reported fwy,e 7th st,30.267,-97.734
9600 n lamar blvd,longspur,30.367,-97.695
409 e william cannon dr dr,william cannon dr,30.192,-97.775
1300 rosewood ave,angelina st,30.269,-97.725
12200 research blvd nb,anderson mill rd,30.431,-97.765
200 not reported blvd,s congress ave,30.224,-97.765
8200 n lamar blvd blvd,w w powell ln,30.351,-97.709
ben white svrd blvd wb,burleson rd,30.216,-97.735
900 w 38th st,n lamar blvd,30.305,-97.742
9000 not reported hwy,e rundberg ln,30.359,-97.687
dessau rd,parmer ln,30.384,-97.65
14000 ih35,not reported,30.113,-97.807
2400 not reported blvd,s capital of tx nb hwy,30.233,-97.794
7200 not reported expy,w william cannon dr,30.217,-97.843
100 w william cannon dr,7700 s congress ave,30.193,-97.779
3400 not reported hwy,not reported,30.25,-97.806
800 e braker ln,not reported,30.377,-97.676
10900 not reported blvd,braker ln,30.401,-97.746
11322 lakeline blvd,not reported,30.48,-97.801
3900 not reported,e 38 half st,30.294,-97.72
8000 n capital of texas hwy,spicewood spring rd,30.383,-97.771
9500 not reported fwy,e e slaughter ln,30.164,-97.788
5000 not reported hwy,teri rd,30.206,-97.758
1500 w 6th st,500 powell st,30.275,-97.762
1900 burton dr,valley hill cir,30.235,-97.731
6200 not reported fwy,e william cannon dr,30.19,-97.771
not reported,not reported,30.216,-97.751
4700 not reported rd,butte blvd,30.342,-97.782
12007 millwright pkwy,12000 old stage trl,30.451,-97.802
8700 not reported expy,great hills trail,30.388,-97.763
100 e stassney ln,5600 s congress ave,30.205,-97.775
2200 not reported,e mlk blvd,30.282,-97.728
8500 not reported,not reported,30.348,-97.694
8000 not reported hwy,norwood park blvd,30.342,-97.698
5300 river place blvd,10500 silktail cv,30.379,-97.853
4600 guadalupe st st,w w 47th st,30.315,-97.732
900 not reported hwy,not reported,30.244,-97.735
14000 n fm 620 rd nb rd,w w parmer ln ln,30.476,-97.767
7900 n fm 620 rd rd,vista parke dr,30.413,-97.849
1500 not reported hwy,e n ih 35 sb to riverside ramp dr,30.244,-97.735
6500 not reported,e william cannon rd,30.196,-97.766
colorado st,w 10th st,30.272,-97.743
far west blvd,wood hollow dr,30.353,-97.753
2500 n lamar blvd blvd,1300 w 24th st st,30.289,-97.753
4000 s lamar blvd,4100 s capital of texas hwy,30.234,-97.796
6500 se mopac expy,4100 w william cannon dr,30.221,-97.836
10200 anderson mill rd rd,burnmaster ln ln,30.447,-97.802
1521 reagan hill dr,coronado hills,30.326,-97.69
9000 s mopac expy,5700 w slaughter ln,30.2,-97.867
w 15th eb to lamar nb ramp st,guadalupe st,30.268,-97.747
5600 not reported expy,w william cannon dr,30.2,-97.786
1900 w slaughter ln,not reported,30.174,-97.823
12200 not reported hwy,vfw rd,30.394,-97.672
12100 tech ridge blvd,not reported,30.399,-97.664
2530 n lamar blvd,w 25th st,30.29,-97.752
n n fm 620 rd rd,wilson parke ave ave,30.417,-97.847
n mopac ef blvd,n capital of texas hwy hwy,30.249,-97.805
1600 e anderson ln,cameron rd,30.331,-97.683
6400 not reported hwy,not reported,30.362,-97.79
7600 n bluff springs rd,chateau village way,30.174,-97.769
8500 southwest pkwy,5400 travis cook rd,30.261,-97.885
1000 w stassney ln ln,5600 emerald florest,30.211,-97.787
3203 santa monica dr dr,matador dr dr,30.22,-97.735
700 martin luther king blvd,west ave ave,30.283,-97.745
5300 nuckols crossing rd rd,e stassney l ln,30.192,-97.739
2800 not reported hwy,not reported,30.258,-97.812
4400 s n lamar blvd svrd nb blvd,w e ben white blvd svrd eb blvd,30.312,-97.739
300 e 15th st,1500 san jacinto blvd,30.276,-97.737
5700 w slaughter ln,9400 s mopac expy,30.201,-97.87
grove blvd,e riverside dr,30.227,-97.708
1100 w braker ln,11300 austin park ln,30.385,-97.693
7200 not reported hwy,lakewood dr,30.372,-97.786
3711 cookstown dr dr,3700 gable dr dr,30.419,-97.716
2100 w parmer ln,12400 lamplight village ave,30.416,-97.695
e riverside dr,e ben white blvd,30.218,-97.691
8500 research blvd sb blvd,n research sb to lamar svrd ramp,30.36,-97.717
not reported hwy,rundberg ln ln,30.358,-97.688
not reported hwy,e martin luther king jr blvd blvd,30.278,-97.73
5100 s mopac expy,5000 w us 290 hwy,30.236,-97.824
airport blvd,parkwood rd,30.3,-97.713
4500 airport blvd,1000 e 45th st,30.304,-97.716
9000 not reported,e e slaughter ln ln,30.169,-97.785
12200 n lamar blvd,yager ln,30.402,-97.679
528 s 1st st,barton springs rd,30.258,-97.75
2379 s 1st st,w oltorf st,30.242,-97.759
10 not reported hwy,flores st st,30.252,-97.736
1200 s capital of texas hwy,capital of texas st,30.316,-97.825
2300 w parmer ln,tomanet trl trl,30.418,-97.701
8900 research blvd nb blvd,burnet rd rd,30.37,-97.72
10500 not reported hwy,slaughter creek overpass,30.16,-97.789
2800 s lamar blvd,2200 barton skwy,30.244,-97.782
not reported hwy,w howard ln,30.424,-97.672
giles ln,blue goose rd,30.343,-97.616
lake austin blvd,lufkin,30.289,-97.781
5000 mueller blvd,barbara jordan blvd,30.304,-97.704
s 1st st,eberhart ln,30.201,-97.786
1200 lavaca,12th st,30.274,-97.743
1100 e 51st st,cameron rd,30.309,-97.71
1200 not reported hwy,e e 12th st st,30.272,-97.732
2100 w slaughter ln,riddle rd,30.177,-97.835
6600 elm creek dr,2006 e william cannon dr,30.187,-97.764
7400 not reported hwy,blackson ave,30.335,-97.703
9400 not reported blvd,not reported,30.387,-97.744
5400 w parmer ln,legendury dr,30.437,-97.736
e stassney ln,dove springs dr,30.194,-97.757
not reported dr,not reported,30.248,-97.735
2400 not reported hwy,e riverside dr dr,30.203,-97.683
2612 monarch dr,princewood pass,30.18,-97.831
8700 research blvd svrd sb blvd,ohlen rd rd,30.364,-97.718
9100 not reported hwy,springdale rd,30.329,-97.655
4500 not reported hwy,fenwood rd,30.303,-97.715
6800 brodie ln,w william cannon dr,30.217,-97.829
1908 e e 11th st st,chicon st st,30.266,-97.72
not reported,st johns,30.333,-97.704
6500 burnet rd,2400 twin oaks dr,30.341,-97.739
11100 sprinkle cutoff rd,10700 samsung blvd,30.366,-97.651
4200 s lamar blvd,2400 w ben white blvd,30.233,-97.797
7500 not reported hwy,not reported,30.339,-97.7
6500 burnet rd rd,2400 twin oaks dr dr,30.342,-97.739
10000 lakeline blvd,w parmer ln,30.488,-97.771
not reported hwy,n burnet rd rd,30.377,-97.733
3100 not reported hwy,cheviot ln,30.205,-97.642
3200 not reported,woodward st,30.224,-97.747
5300 manchaca rd,1900 inverness,30.218,-97.796
4000 clawson rd,1600 grayford dr,30.231,-97.782
1100 not reported hwy,balcones woods dr,30.407,-97.745
11500 barrington way way,shakespearean way way,30.429,-97.775
8909 burnet rd rd,research blvd svrd nb blvd,30.372,-97.727
4400 n lamar blvd blvd,1000 w 44th st st,30.312,-97.739
airport blvd blvd,w w huntland dr dr,30.33,-97.716
1900 e parmer ln,dessau rd,30.385,-97.645
w 6th st,west ave,30.27,-97.751
10600 lake creek pkwy pkwy,millwright pkwy pkwy,30.456,-97.805
1000 not reported,not reported,30.279,-97.73
900 s s pleasant valley rd rd,2500 s s lakeshore blvd blvd,30.243,-97.717
3300 not reported hwy,e 32nd st,30.291,-97.722
w 6th st,lavaca st,30.269,-97.745
